location,age_group,forecast_date,target_end_date,target,type,quantile,value,pathogen
DE,00-04,2023-04-12,2023-03-15,-28 day ahead inc hosp,quantile,0.025,196,COVID-19
DE,00-04,2023-04-12,2023-03-15,-28 day ahead inc hosp,quantile,0.1,196,COVID-19
DE,00-04,2023-04-12,2023-03-15,-28 day ahead inc hosp,quantile,0.25,196,COVID-19
DE,00-04,2023-04-12,2023-03-15,-28 day ahead inc hosp,quantile,0.5,196,COVID-19
DE,00-04,2023-04-12,2023-03-15,-28 day ahead inc hosp,quantile,0.75,196,COVID-19
DE,00-04,2023-04-12,2023-03-15,-28 day ahead inc hosp,quantile,0.9,197,COVID-19
DE,00-04,2023-04-12,2023-03-15,-28 day ahead inc hosp,quantile,0.975,197,COVID-19
DE,00-04,2023-04-12,2023-03-15,-28 day ahead inc hosp,mean,NA,196.198125,COVID-19
DE,00-04,2023-04-12,2023-03-16,-27 day ahead inc hosp,quantile,0.025,193,COVID-19
DE,00-04,2023-04-12,2023-03-16,-27 day ahead inc hosp,quantile,0.1,193,COVID-19
DE,00-04,2023-04-12,2023-03-16,-27 day ahead inc hosp,quantile,0.25,193,COVID-19
DE,00-04,2023-04-12,2023-03-16,-27 day ahead inc hosp,quantile,0.5,193,COVID-19
DE,00-04,2023-04-12,2023-03-16,-27 day ahead inc hosp,quantile,0.75,194,COVID-19
DE,00-04,2023-04-12,2023-03-16,-27 day ahead inc hosp,quantile,0.9,194,COVID-19
DE,00-04,2023-04-12,2023-03-16,-27 day ahead inc hosp,quantile,0.975,195,COVID-19
DE,00-04,2023-04-12,2023-03-16,-27 day ahead inc hosp,mean,NA,193.333125,COVID-19
DE,00-04,2023-04-12,2023-03-17,-26 day ahead inc hosp,quantile,0.025,189,COVID-19
DE,00-04,2023-04-12,2023-03-17,-26 day ahead inc hosp,quantile,0.1,189,COVID-19
DE,00-04,2023-04-12,2023-03-17,-26 day ahead inc hosp,quantile,0.25,189,COVID-19
DE,00-04,2023-04-12,2023-03-17,-26 day ahead inc hosp,quantile,0.5,189,COVID-19
DE,00-04,2023-04-12,2023-03-17,-26 day ahead inc hosp,quantile,0.75,190,COVID-19
DE,00-04,2023-04-12,2023-03-17,-26 day ahead inc hosp,quantile,0.9,190,COVID-19
DE,00-04,2023-04-12,2023-03-17,-26 day ahead inc hosp,quantile,0.975,191,COVID-19
DE,00-04,2023-04-12,2023-03-17,-26 day ahead inc hosp,mean,NA,189.50375,COVID-19
DE,00-04,2023-04-12,2023-03-18,-25 day ahead inc hosp,quantile,0.025,184,COVID-19
DE,00-04,2023-04-12,2023-03-18,-25 day ahead inc hosp,quantile,0.1,184,COVID-19
DE,00-04,2023-04-12,2023-03-18,-25 day ahead inc hosp,quantile,0.25,184,COVID-19
DE,00-04,2023-04-12,2023-03-18,-25 day ahead inc hosp,quantile,0.5,184,COVID-19
DE,00-04,2023-04-12,2023-03-18,-25 day ahead inc hosp,quantile,0.75,185,COVID-19
DE,00-04,2023-04-12,2023-03-18,-25 day ahead inc hosp,quantile,0.9,186,COVID-19
DE,00-04,2023-04-12,2023-03-18,-25 day ahead inc hosp,quantile,0.975,187,COVID-19
DE,00-04,2023-04-12,2023-03-18,-25 day ahead inc hosp,mean,NA,184.683125,COVID-19
DE,00-04,2023-04-12,2023-03-19,-24 day ahead inc hosp,quantile,0.025,180,COVID-19
DE,00-04,2023-04-12,2023-03-19,-24 day ahead inc hosp,quantile,0.1,180,COVID-19
DE,00-04,2023-04-12,2023-03-19,-24 day ahead inc hosp,quantile,0.25,180,COVID-19
DE,00-04,2023-04-12,2023-03-19,-24 day ahead inc hosp,quantile,0.5,181,COVID-19
DE,00-04,2023-04-12,2023-03-19,-24 day ahead inc hosp,quantile,0.75,181,COVID-19
DE,00-04,2023-04-12,2023-03-19,-24 day ahead inc hosp,quantile,0.9,182,COVID-19
DE,00-04,2023-04-12,2023-03-19,-24 day ahead inc hosp,quantile,0.975,183,COVID-19
DE,00-04,2023-04-12,2023-03-19,-24 day ahead inc hosp,mean,NA,180.766875,COVID-19
DE,00-04,2023-04-12,2023-03-20,-23 day ahead inc hosp,quantile,0.025,180,COVID-19
DE,00-04,2023-04-12,2023-03-20,-23 day ahead inc hosp,quantile,0.1,180,COVID-19
DE,00-04,2023-04-12,2023-03-20,-23 day ahead inc hosp,quantile,0.25,180,COVID-19
DE,00-04,2023-04-12,2023-03-20,-23 day ahead inc hosp,quantile,0.5,181,COVID-19
DE,00-04,2023-04-12,2023-03-20,-23 day ahead inc hosp,quantile,0.75,181,COVID-19
DE,00-04,2023-04-12,2023-03-20,-23 day ahead inc hosp,quantile,0.9,182,COVID-19
DE,00-04,2023-04-12,2023-03-20,-23 day ahead inc hosp,quantile,0.975,183,COVID-19
DE,00-04,2023-04-12,2023-03-20,-23 day ahead inc hosp,mean,NA,180.823125,COVID-19
DE,00-04,2023-04-12,2023-03-21,-22 day ahead inc hosp,quantile,0.025,179,COVID-19
DE,00-04,2023-04-12,2023-03-21,-22 day ahead inc hosp,quantile,0.1,179,COVID-19
DE,00-04,2023-04-12,2023-03-21,-22 day ahead inc hosp,quantile,0.25,179,COVID-19
DE,00-04,2023-04-12,2023-03-21,-22 day ahead inc hosp,quantile,0.5,180,COVID-19
DE,00-04,2023-04-12,2023-03-21,-22 day ahead inc hosp,quantile,0.75,181,COVID-19
DE,00-04,2023-04-12,2023-03-21,-22 day ahead inc hosp,quantile,0.9,182,COVID-19
DE,00-04,2023-04-12,2023-03-21,-22 day ahead inc hosp,quantile,0.975,183,COVID-19
DE,00-04,2023-04-12,2023-03-21,-22 day ahead inc hosp,mean,NA,180.078125,COVID-19
DE,00-04,2023-04-12,2023-03-22,-21 day ahead inc hosp,quantile,0.025,171,COVID-19
DE,00-04,2023-04-12,2023-03-22,-21 day ahead inc hosp,quantile,0.1,171,COVID-19
DE,00-04,2023-04-12,2023-03-22,-21 day ahead inc hosp,quantile,0.25,171,COVID-19
DE,00-04,2023-04-12,2023-03-22,-21 day ahead inc hosp,quantile,0.5,172,COVID-19
